时间,带宽(bps)
2016-09-01T00:00:00+08:00,1259240863
2016-09-01T00:05:00+08:00,1218328739
2016-09-01T00:10:00+08:00,1329333894
2016-09-01T00:15:00+08:00,1208500009
2016-09-01T00:20:00+08:00,1269646801
2016-09-01T00:25:00+08:00,1201985094
2016-09-01T00:30:00+08:00,1091223583
2016-09-01T00:35:00+08:00,1077296512
2016-09-01T00:40:00+08:00,1144667125
2016-09-01T00:45:00+08:00,1111885700
2016-09-01T00:50:00+08:00,986197380
2016-09-01T00:55:00+08:00,981037167
2016-09-01T01:00:00+08:00,901519439
2016-09-01T01:05:00+08:00,848170804
2016-09-01T01:10:00+08:00,897364917
2016-09-01T01:15:00+08:00,817993018
2016-09-01T01:20:00+08:00,895898794
2016-09-01T01:25:00+08:00,772351976
2016-09-01T01:30:00+08:00,693779607
2016-09-01T01:35:00+08:00,707524704
2016-09-01T01:40:00+08:00,764729868
2016-09-01T01:45:00+08:00,608038416
2016-09-01T01:50:00+08:00,580674267
2016-09-01T01:55:00+08:00,536466191
2016-09-01T02:00:00+08:00,512751968
2016-09-01T02:05:00+08:00,550202690
2016-09-01T02:10:00+08:00,509488694
2016-09-01T02:15:00+08:00,466944763
2016-09-01T02:20:00+08:00,443313224
2016-09-01T02:25:00+08:00,458497293
2016-09-01T02:30:00+08:00,387270119
2016-09-01T02:35:00+08:00,354469967
2016-09-01T02:40:00+08:00,324145097
2016-09-01T02:45:00+08:00,375149984
2016-09-01T02:50:00+08:00,347124459
2016-09-01T02:55:00+08:00,329623180
2016-09-01T03:00:00+08:00,360959488
2016-09-01T03:05:00+08:00,365953806
2016-09-01T03:10:00+08:00,339612464
2016-09-01T03:15:00+08:00,318852983
2016-09-01T03:20:00+08:00,296354819
2016-09-01T03:25:00+08:00,297366339
2016-09-01T03:30:00+08:00,260231297
2016-09-01T03:35:00+08:00,244962379
2016-09-01T03:40:00+08:00,227720361
2016-09-01T03:45:00+08:00,231905733
2016-09-01T03:50:00+08:00,252877408
2016-09-01T03:55:00+08:00,243539167
2016-09-01T04:00:00+08:00,215857121
2016-09-01T04:05:00+08:00,218377491
2016-09-01T04:10:00+08:00,177818856
2016-09-01T04:15:00+08:00,237846525
